exchange,trading_date,open,high,low,close,volume,value
HOSE,2025-03-06,26250.0,26400.0,26150.0,26400.0,5071000.0,133327300000.0
HOSE,2007-10-01,7872.0,8348.0,7596.0,8348.0,510700.0,82629700000.0
HOSE,2025-03-07,26500.0,26800.0,26350.0,26650.0,10705500.0,284610070000.0
HOSE,2007-10-02,8523.0,8774.0,7922.0,8222.0,346200.0,56795230000.0
HOSE,2025-03-10,26700.0,26750.0,26400.0,26450.0,8494800.0,225770880000.0
HOSE,2007-10-03,8122.0,8423.0,8122.0,8248.0,80400.0,13203450000.0
HOSE,2025-03-11,26300.0,26450.0,26100.0,26450.0,9142000.0,239945450000.0
HOSE,2007-10-04,8308.0,8423.0,8077.0,8122.0,214500.0,35258240000.0
HOSE,2025-03-12,26500.0,26700.0,26200.0,26300.0,7796200.0,206250200000.0
HOSE,2007-10-05,8243.0,8273.0,7872.0,8022.0,212100.0,34023260000.0
HOSE,2025-03-13,26350.0,26450.0,26100.0,26100.0,8885500.0,232798540000.0
HOSE,2007-10-08,8212.0,8323.0,8022.0,8298.0,406500.0,66827260000.0
HOSE,2025-03-14,26200.0,26200.0,25900.0,26000.0,11548600.0,300857750000.0
HOSE,2007-10-09,8523.0,9025.0,8373.0,8654.0,518300.0,89996350000.0
HOSE,2025-03-17,26100.0,26250.0,26000.0,26200.0,5664400.0,148079700000.0
HOSE,2007-10-10,8924.0,8924.0,8599.0,8674.0,164600.0,28488760000.0
HOSE,2025-03-18,26300.0,26550.0,26250.0,26300.0,6008500.0,158292130000.0
HOSE,2007-10-11,8774.0,8774.0,8473.0,8634.0,27100.0,4693090000.0
HOSE,2025-03-19,26300.0,26300.0,26050.0,26200.0,7913600.0,207044300000.0
HOSE,2007-10-15,8624.0,8764.0,8568.0,8624.0,264900.0,45498780000.0
HOSE,2025-03-20,26400.0,26450.0,26150.0,26250.0,4862600.0,127635600000.0
HOSE,2007-10-16,8629.0,8704.0,8523.0,8573.0,252700.0,43376930000.0
HOSE,2025-03-21,26250.0,26300.0,26100.0,26100.0,4131900.0,108115214000.0
HOSE,2007-10-17,8624.0,8624.0,8348.0,8423.0,344000.0,57764630000.0
HOSE,2025-03-24,26250.0,26350.0,26050.0,26350.0,7888300.0,206217180000.0
HOSE,2007-10-18,8373.0,8423.0,8273.0,8323.0,199400.0,33202630000.0
HOSE,2025-03-25,26400.0,26450.0,26150.0,26300.0,5597300.0,147116700000.0
HOSE,2007-10-19,8348.0,8573.0,8222.0,8473.0,267400.0,44987120000.0
HOSE,2025-03-26,26300.0,26450.0,26100.0,26150.0,7433900.0,195124080000.0
HOSE,2007-10-22,8523.0,8548.0,8373.0,8423.0,222100.0,37180520000.0
HOSE,2025-03-27,26000.0,26200.0,25950.0,26000.0,6649100.0,173154730000.0
HOSE,2007-10-23,8398.0,8473.0,8017.0,8172.0,216800.0,35903000000.0
HOSE,2025-03-28,26000.0,26050.0,25850.0,25950.0,9728600.0,252350920000.0
HOSE,2007-10-24,8273.0,8273.0,8027.0,8243.0,200700.0,32920240000.0
HOSE,2025-03-31,25850.0,26000.0,25800.0,26000.0,9126200.0,236326620000.0
HOSE,2007-10-25,8318.0,8323.0,8222.0,8248.0,193300.0,31819370000.0
HOSE,2025-04-01,26000.0,26050.0,25900.0,26050.0,3049500.0,79265145000.0
HOSE,2007-10-26,8273.0,8423.0,8273.0,8373.0,261800.0,43614610000.0
HOSE,2025-04-02,26100.0,26200.0,25900.0,25950.0,7480900.0,194974220000.0
HOSE,2007-10-29,8423.0,8473.0,8373.0,8423.0,302500.0,50889560000.0
HOSE,2025-04-03,25150.0,25350.0,24150.0,24150.0,39685300.0,978885500000.0
HOSE,2007-10-30,8498.0,8523.0,8378.0,8473.0,503800.0,85427010000.0
